Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
France,FRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,24.917,25.899,26.881,26.8274,26.7738,26.7202,26.6666,26.613,26.9212,27.2294,27.5376,27.8458,28.154,26.7144,25.2748,23.8352,22.3956,20.956,19.672,18.388,17.104,15.82,14.536,13.5962,12.6564,11.7166,10.7768,9.837,9.4772,9.1174,8.7576,8.3978,8.038,7.8742,7.7104,7.5466,7.3828,7.219,7.3606,7.5022,7.6438,7.7854,7.927,7.7912,7.6554,7.5196,7.3838,7.248,7.128,7.008,6.888,6.768,6.648,6.2638,5.8796,5.4954,5.1112,4.727,4.7362,4.7454,
France,FRA,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,Adults (ages 15+) living with HIV,SH.DYN.AIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,"Age at first marriage, female",SP.DYN.SMAM.FE,,,,,,,,,,,22.3,22.3,22.2,22.2,22.1,23,22.2,22.3,22.5,22.7,23,23.2,24.4,24.6,25,24.7,25.1,25.6,26,26.4,27.7,27.2,,,,,,,,30.1,30.2,30.5,,31,,31,,,22.7,,,25.6,32,32,,,,,,,
France,FRA,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,25.2,25,24.9,24.7,24.6,25.3,24.5,24.6,24.7,24.9,25.1,25.4,26.4,26.5,26.9,26.6,27,27.5,27.9,28.4,29.8,29.2,,,,,,,,32.2,32.3,32.6,,32.9,,33,,,,,,27.7,33.6,33.7,,,,,,,
France,FRA,Age dependency ratio (% of working-age population),SP.POP.DPND,61.32245575,61.79780568,61.74096517,61.31438422,60.83566185,60.46875425,60.52914758,60.53367362,60.51983068,60.48956541,60.43625175,60.46539674,60.50868091,60.50515325,60.34647936,59.97334716,59.83408218,59.44382122,58.81964297,58.01443497,57.07494764,55.85880371,54.67601103,53.57777986,52.61537307,51.83707072,51.71657757,51.62015869,51.5793438,51.63707412,51.78473298,51.98846525,52.29059344,52.64092053,52.95222687,53.18541903,53.40624583,53.58165451,53.69428123,53.7490089,53.76192351,53.86967586,53.89778547,53.87257818,53.8212266,53.76490814,53.83190686,53.86296928,53.93670628,54.16892127,54.63090246,55.33524677,56.25937416,57.32435006,58.38099164,59.32072593,60.07595511,60.71698565,61.26714454,61.79535465,62.35640565
France,FRA,"Age dependency ratio, old",SP.POP.DPND.OL,18.79579396,18.96499192,19.09013463,19.19073629,19.29577033,19.42356314,19.69942775,19.96584251,20.21638078,20.43804249,20.62370537,20.90242397,21.12434804,21.29877251,21.43795083,21.54588827,21.784249,22.0053818,22.14583194,22.11003528,21.85891457,21.49880756,20.94083999,20.32924123,19.85898614,19.63364019,19.74363907,20.05142094,20.48221223,20.92187381,21.30454396,21.75592093,22.15989406,22.52710216,22.87786558,23.22335294,23.58395783,23.9158756,24.21438323,24.47251436,24.69011971,24.87968899,25.03947403,25.16907599,25.26304686,25.32800107,25.40427937,25.42834928,25.47581463,25.66178392,26.0584473,26.61713457,27.37186267,28.26927943,29.1988935,30.08153004,30.86924773,31.61141873,32.30926755,32.99229055,33.69456444
France,FRA,"Age dependency ratio, young",SP.POP.DPND.YG,42.52666179,42.83281376,42.65083054,42.12364794,41.53989152,41.04519111,40.82971983,40.56783112,40.30344989,40.05152291,39.81254638,39.56297278,39.38433287,39.20638073,38.90852853,38.42745889,38.04983318,37.43843942,36.67381103,35.90439969,35.21603307,34.35999615,33.73517104,33.24853864,32.75638694,32.20343053,31.9729385,31.56873775,31.09713157,30.71520031,30.48018902,30.23254432,30.13069938,30.11381837,30.07436129,29.96206608,29.82228801,29.66577891,29.479898,29.27649454,29.0718038,28.98998687,28.85831143,28.70350219,28.55817974,28.43690707,28.42762749,28.43462001,28.46089165,28.50713735,28.57245516,28.7181122,28.88751149,29.05507063,29.18209814,29.23919589,29.20670738,29.10556693,28.95787698,28.8030641,28.6618412
