Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United Kingdom,GBR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,84.7406,86.7628,88.785,84.3684,79.9518,75.5352,71.1186,66.702,61.9316,57.1612,52.3908,47.6204,42.85,40.3392,37.8284,35.3176,32.8068,30.296,29.8032,29.3104,28.8176,28.3248,27.832,28.5994,29.3668,30.1342,30.9016,31.669,31.4378,31.2066,30.9754,30.7442,30.513,30.4738,30.4346,30.3954,30.3562,30.317,29.5742,28.8314,28.0886,27.3458,26.603,26.354,26.105,25.856,25.607,25.358,23.9822,22.6064,21.2306,19.8548,18.479,17.4572,16.4354,15.4136,14.3918,13.37,12.641,11.912,
United Kingdom,GBR,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,Adults (ages 15+) living with HIV,SH.DYN.AIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,"Age at first marriage, female",SP.DYN.SMAM.FE,,,,,,,,,,,,21.3,,,,,,,,,,,23.4,23.8,24.1,24.5,24.8,25.1,25.4,25.7,26,26.4,26.7,27.1,27.4,,,28.7,,,,26.3,,,,,,,,31.8,32,27,,,,,,,,,
United Kingdom,GBR,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,24.2,,,,,,,,,,,25.8,26.1,26.4,26.7,27.1,27.3,27.6,27.9,28.2,28.4,28.9,29.2,29.6,,,30.8,,,,28.1,,,,,,,,33.2,33.3,28.7,,,,,,,,,
United Kingdom,GBR,Age dependency ratio (% of working-age population),SP.POP.DPND,53.66414056,54.21575041,54.43106509,54.48165099,54.64329819,55.03541281,55.96782517,56.88316924,57.78087081,58.58643648,59.23139153,59.81330886,60.25355554,60.48865846,60.44975832,60.11982915,59.73239325,59.1170349,58.28168908,57.27691067,56.17568119,55.28563903,54.34450173,53.45064673,52.70989207,52.1813485,52.22565044,52.35841238,52.58081024,52.86526673,53.17417424,53.53163087,53.91049956,54.27398515,54.54702254,54.68149981,54.69637284,54.56929727,54.32937758,54.02066956,53.67011266,53.31406178,52.87234834,52.39448151,51.9363622,51.54579141,51.37202339,51.26708849,51.26660924,51.39551483,51.66504494,52.34374887,53.04245691,53.7606423,54.46384637,55.11102766,55.63735853,56.06989604,56.43074619,56.75061197,57.06137406
United Kingdom,GBR,"Age dependency ratio, old",SP.POP.DPND.OL,18.08223747,18.29276855,18.44906262,18.57954738,18.72440242,18.90929373,19.28381435,19.67002156,20.05535163,20.4191012,20.75090696,21.205191,21.6078551,21.95772968,22.25305064,22.49350395,22.82895516,23.09783003,23.28565341,23.36917652,23.34398989,23.37723826,23.29201484,23.1545074,23.05231126,23.03401669,23.22741316,23.47604975,23.74251342,23.96858743,24.1230944,24.3299639,24.46708928,24.54577823,24.57899532,24.57602243,24.60689317,24.59274018,24.54869512,24.48863834,24.42301997,24.42180739,24.39753988,24.36257941,24.32696793,24.30131007,24.3857725,24.46478405,24.58215126,24.79416039,25.13050969,25.60613531,26.17965903,26.80027379,27.38339518,27.87998197,28.26121496,28.54695519,28.77679086,29.01249332,29.29720348
United Kingdom,GBR,"Age dependency ratio, young",SP.POP.DPND.YG,35.58190309,35.92298185,35.98200247,35.90210361,35.91889578,36.12611909,36.68401082,37.21314768,37.72551918,38.16733527,38.48048457,38.60811786,38.64570045,38.53092878,38.19670767,37.6263252,36.90343809,36.01920488,34.99603567,33.90773415,32.8316913,31.90840077,31.05248689,30.29613933,29.65758081,29.14733181,28.99823728,28.88236263,28.83829681,28.8966793,29.05107984,29.20166697,29.44341027,29.72820692,29.96802722,30.10547738,30.08947967,29.97655709,29.78068246,29.53203121,29.24709269,28.89225439,28.47480847,28.0319021,27.60939427,27.24448133,26.9862509,26.80230445,26.68445798,26.60135444,26.53453525,26.73761357,26.86279788,26.96036851,27.08045119,27.23104569,27.37614357,27.52294085,27.65395533,27.73811865,27.76417058
