Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,USA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,81.741,79.185,76.629,74.6802,72.7314,70.7826,68.8338,66.885,65.7818,64.6786,63.5754,62.4722,61.369,59.642,57.915,56.188,54.461,52.734,52.4856,52.2372,51.9888,51.7404,51.492,51.8474,52.2028,52.5582,52.9136,53.269,54.5174,55.7658,57.0142,58.2626,59.511,57.8868,56.2626,54.6384,53.0142,51.39,49.6484,47.9068,46.1652,44.4236,42.682,42.0618,41.4416,40.8214,40.2012,39.581,37.2522,34.9234,32.5946,30.2658,27.937,26.3216,24.7062,23.0908,21.4754,19.86,18.5562,17.2524,
United States,USA,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960000,990000,1000000,1000000,1100000,1100000,1100000,1100000,1200000,1200000,
United States,USA,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,39000,39000,37000,38000,38000,38000,37000,36000,35000,
United States,USA,Adults (ages 15+) living with HIV,SH.DYN.AIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960000,980000,1000000,1000000,1100000,1100000,1100000,1100000,1200000,1200000,
United States,USA,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34000,33000,33000,31000,32000,32000,32000,31000,30000,29000,
United States,USA,"Age at first marriage, female",SP.DYN.SMAM.FE,,,,,,,,,,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,23.3,,,,,,,23.7,,,,,23.7,,,27.5,,,,,,,,,,
United States,USA,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,29.2,,,,,,,,,,
United States,USA,Age dependency ratio (% of working-age population),SP.POP.DPND,66.13173531,66.64803238,66.69215837,66.39293161,65.92429088,65.36683363,64.81403345,64.18004604,63.45836482,62.62629531,61.67697799,60.44536393,59.24133826,58.04715608,56.83556011,55.60704511,54.88785721,54.08452511,53.28491357,52.59060099,52.04431808,51.6006138,51.26374709,51.04708902,50.93317278,50.90297759,51.14187287,51.40640471,51.68664451,51.96227796,52.21228804,52.60544199,52.9175937,53.12005973,53.17880751,53.08725084,53.04141652,52.79262671,52.41475088,52.00216054,51.59926482,51.15428897,50.80181132,50.47969551,50.11068925,49.68456775,49.69711035,49.6149867,49.52142753,49.52581393,49.67051522,49.86975262,50.11544312,50.42591564,50.79303992,51.20955055,51.64616731,52.15580602,52.71067711,53.27766617,53.85248134
United States,USA,"Age dependency ratio, old",SP.POP.DPND.OL,15.14411074,15.31612549,15.43012864,15.50937988,15.57800718,15.64447371,15.78429348,15.91768733,16.04568231,16.15974208,16.24985374,16.36379679,16.45456173,16.53983405,16.62310262,16.69734058,16.86781724,17.02682724,17.19371571,17.37647292,17.5710651,17.71580014,17.84726388,17.98357111,18.13680718,18.30704712,18.51524291,18.71531801,18.90527952,19.07613863,19.2210388,19.33702614,19.41321622,19.45014335,19.44156665,19.38468938,19.30002501,19.16906694,19.01070939,18.84784193,18.69785801,18.6130324,18.53590348,18.47541617,18.43747371,18.42873209,18.53387335,18.65978389,18.83239533,19.08345408,19.42988579,19.85813508,20.35780389,20.91679038,21.51469796,22.14144011,22.79799773,23.46146061,24.13997563,24.84570588,25.587092
United States,USA,"Age dependency ratio, young",SP.POP.DPND.YG,50.98762457,51.33190689,51.26202973,50.88355173,50.3462837,49.72235993,49.02973997,48.26235871,47.41268251,46.46655323,45.42712425,44.08156714,42.78677653,41.50732202,40.2124575,38.90970453,38.02003997,37.05769787,36.09119786,35.21412806,34.47325297,33.88481366,33.41648321,33.06351791,32.7963656,32.59593047,32.62662996,32.6910867,32.78136499,32.88613933,32.99124924,33.26841585,33.50437748,33.66991638,33.73724086,33.70256146,33.74139151,33.62355977,33.40404148,33.15431861,32.90140681,32.54125657,32.26590784,32.00427934,31.67321554,31.25583566,31.163237,30.95520281,30.68903221,30.44235985,30.24062943,30.01161754,29.75763923,29.50912526,29.27834196,29.06811045,28.84816957,28.69434541,28.57070148,28.43196029,28.26538933
United States,USA,"Age population, age 00, female, interpolated",SP.POP.AG00.FE.IN,2086628,2062090,2012201,1944887,1872079,1803439,1744045,1689275,1642589,1607429,1585830,1581892,1592656,1612003,1630996,1643188,1642369,1634516,1625164,1622501,1632243,1658789,1696671,1741003,1784910,1823245,1854753,1880352,1900891,1918150,1933345,1948653,1962855,1972582,1973294,1962421,1931340,1889054,1846863,1820520,1820819,1861128,1926853,2004392,2074324,2122249,2142056,2141341,2122688,2091332,2052262,2007437,1955373,1903697,1862441,1838637,1839437,1858277,1889074,1922530,1951448
United States,USA,"Age population, age 00, male, interpolated",SP.POP.AG00.MA.IN,2182188,2155837,2103301,2032421,1955138,1881319,1817743,1758244,1707438,1670332,1650057,1649924,1667351,1695386,1723741,1744706,1752816,1753457,1750691,1750826,1758475,1774257,1796815,1824270,1853966,1883724,1915224,1946426,1975913,2002204,2024171,2040139,2052850,2059704,2057325,2044008,2010423,1965956,1922301,1895723,1897369,1941566,2012563,2095882,2170862,2222182,2243122,2241866,2221539,2188177,2147389,2100032,2045756,1992185,1949373,1924415,1924989,1943947,1975211,2009437,2039370
United States,USA,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,2057135,2079403,2020955,1982711,1936784,1887515,1823978,1788311,1738744,1694799,1659542,1599357,1622662,1616258,1613307,1610873,1633047,1599488,1597280,1601118,1613060,1636000,1666688,1701704,1737774,1772122,1818928,1833991,1861064,1885240,1906344,1931770,1942010,1954180,1960014,1958406,1971226,1919971,1896293,1879387,1874946,1837319,1923696,1960341,1996227,2025414,2101298,2058043,2063985,2060663,2047594,2052268,1996133,1962073,1931126,1908486,1857392,1899428,1905931,1916465,1928544
United States,USA,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,2146187,2173314,2107850,2067894,2019586,1967257,1905722,1863867,1812010,1766596,1731298,1662407,1696103,1692253,1692914,1694846,1732779,1696327,1700594,1708858,1722118,1756456,1762678,1788670,1816875,1846172,1884862,1910774,1942261,1971206,1996469,2022256,2031803,2043154,2048120,2045813,2056117,2004843,1980095,1962600,1958294,1916018,2010848,2049873,2088015,2119007,2199675,2153146,2159248,2155881,2142710,2146780,2088517,2053061,2020749,1996871,1943812,1986603,1992661,2003035,2015309
